Name,Condition,DisplayCondition,AccountA,AccountB,TaxFlag,AddDelFlag,TotalFlag,code,payflag,payvisible,Condition_Len,DisplayCondition_Len,ClickFlagStr,Condition_New
个人社保公积金合计,"select isnull(( select top 1 isnull(ysman,0) from RS_EmpSheBaopay_SE where id=EMPID and SMonth=MYDATE ),0)  + isnull(( select top 1 isnull(manp,0) from RS_EmpSheBaopay_SE where id=EMPID and SMonth=MYDATE ),0)  ","个人社保公积金合计 = 应收金额个人合计 + 公积金个人缴存 ",NULL,NULL,0,0,NULL,01,0,1,NULL,NULL,"  isnull(ysman,0) + isnull(manp,0) ",NULL
个税专项抵扣合计,"select isnull(( select top 1 deduction from SalaryTax where dname='子女教育' and id=EMPID and Month=MYDATE ),0)  + isnull(( select top 1 deduction from SalaryTax where dname='继续教育' and id=EMPID and Month=MYDATE ),0)  + isnull(( select top 1 deduction from SalaryTax where dname='赡养老人' and id=EMPID and Month=MYDATE ),0)  + isnull(( select top 1 deduction from SalaryTax where dname='首房贷款' and id=EMPID and Month=MYDATE ),0)  + isnull(( select top 1 deduction from SalaryTax where dname='住房租金' and id=EMPID and Month=MYDATE ),0)  + isnull(( select top 1 deduction from SalaryTax where dname='三岁以下婴幼儿照护' and id=EMPID and Month=MYDATE ),0)  ","个税专项抵扣合计 = 子女教育 + 继续教育 + 赡养老人 + 首房贷款 + 住房租金 + 三岁以下婴幼儿照护 ",NULL,NULL,0,0,NULL,01,0,1,NULL,NULL,"  isnull(子女教育,0) + isnull(继续教育,0) + isnull(赡养老人,0) + isnull(首房贷款,0) + isnull(住房租金,0) + isnull(三岁以下婴幼儿照护,0) ",NULL
加班工资,"if isnull(( select top 1 isnull(有无延时,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  = 0 and isnull(( select top 1 isnull(岗位人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = 1      select ( isnull(( select top 1 isnull(月薪,0) from gongshiresult ),0)  / 22 ) * isnull(( select top 1 isnull(加班天数,0) from gongshiresult ),0)  * 1.5  else  if isnull(( select top 1 isnull(岗位人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = 1 and isnull(( select top 1 isnull(有无延时,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  = 1      select ( isnull(( select top 1 isnull(月薪,0) from gongshiresult ),0)  / 22 ) * isnull(( select top 1 isnull(加班天数,0) from gongshiresult ),0)  * 2  else if isnull(( select top 1 isnull(计时人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = 1     select isnull(( select top 1 isnull(加班时数,0) from gongshiresult ),0)  * isnull(( select top 1 isnull(小时工资,0) from gongshiresult ),0)  * 0.5 ","if 有无延时 = 0 and 岗位人员 = 1 
    加班工资 = ( 月薪 / 22 ) * 加班天数 * 1.5 
else 
if 岗位人员 = 1 and 有无延时 = 1 
    加班工资 = ( 月薪 / 22 ) * 加班天数 * 2 
else
if 计时人员 = 1 
   加班工资 = 加班时数 * 小时工资 * 0.5 ",NULL,NULL,0,1,NULL,03,0,1,NULL,NULL," case when isnull(有无延时,0) = 0 and isnull(岗位人员,0) = 1       then  ( isnull(月薪,0) / 22 ) * isnull(加班天数,0) * 1.5    when  isnull(岗位人员,0) = 1 and isnull(有无延时,0) = 1       then  ( isnull(月薪,0) / 22 ) * isnull(加班天数,0) * 2    when  isnull(计时人员,0) = 1      then  isnull(加班时数,0) * isnull(小时工资,0) * 0.5  end",NULL
节假日工资,"if isnull(( select top 1 isnull(法定满勤数,0) from XZ_ChgItemPay where ID=EMPID  and SelMonth=MYDATE),0)  > 0 and isnull(( select top 1 isnull(岗位人员,0) from XZ_FixItemPay where ID=EMPID  and SelMonth=MYDATE),0)  = 1     select ( isnull(( select top 1 isnull(月薪,0) from gongshiresult ),0)  / isnull(( select top 1 isnull(法定满勤数,0) from XZ_ChgItemPay where ID=EMPID  and SelMonth=MYDATE),0)  ) * isnull(( select top 1 isnull(节假日出勤数,0) from gongshiresult ),0)  * 3 else  if isnull(( select top 1 isnull(计时人员,0) from XZ_FixItemPay where ID=EMPID  and SelMonth=MYDATE),0)  = 1     select isnull(( select top 1 isnull(小时工资,0) from gongshiresult ),0)  * isnull(( select top 1 isnull(节假日出勤数,0) from gongshiresult ),0)  * 3 ","if 法定满勤数 > 0 and 岗位人员 = 1 
   节假日工资 = ( 月薪 / 法定满勤数 ) * 节假日出勤数 * 3
else 
if 计时人员 = 1 
   节假日工资 = 小时工资 * 节假日出勤数 * 3 ",NULL,NULL,0,1,NULL,02,0,1,NULL,NULL," case when isnull(法定满勤数,0) > 0 and isnull(岗位人员,0) = 1      then  ( isnull(月薪,0) / isnull(法定满勤数,0) ) * isnull(节假日出勤数,0) * 3   when  isnull(计时人员,0) = 1      then  isnull(小时工资,0) * isnull(节假日出勤数,0) * 3  end",NULL
缺勤扣款,"if isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID  and SelMonth=MYDATE),0)  > 0     select ( isnull(( select top 1 isnull(加班工资,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(平时出勤工资,0) from gongshiresult ),0)  ) / isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID  and SelMonth=MYDATE),0)  * isnull(( select top 1 isnull(缺勤天数,0) from gongshiresult ),0)  ","if 公司满勤数 > 0 
   缺勤扣款 = ( 加班工资 + 平时出勤工资 ) / 公司满勤数 * 缺勤天数 ",NULL,NULL,0,0,NULL,04,0,1,NULL,NULL," case when isnull(公司满勤数,0) > 0      then  ( isnull(加班工资,0) + isnull(平时出勤工资,0) ) / isnull(公司满勤数,0) * isnull(缺勤天数,0)  end",NULL
计算月工资,"if isnull(( select top 1 isnull(岗位人员,0) from XZ_FixItemPay where ID=EMPID  and SelMonth=MYDATE),0)  = 1  select isnull(( select top 1 isnull(平时出勤工资,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(加班工资,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(节假日工资,0) from gongshiresult ),0)  - isnull(( select top 1 isnull(缺勤扣款,0) from gongshiresult ),0)   else  if isnull(( select top 1 isnull(计时人员,0) from XZ_FixItemPay where ID=EMPID  and SelMonth=MYDATE),0)  = 1  select isnull(( select top 1 isnull(出勤工资,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(加班工资,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(节假日工资,0) from gongshiresult ),0)   else if isnull(( select top 1 isnull(计件人员,0) from XZ_FixItemPay where ID=EMPID  and SelMonth=MYDATE),0)  = 1  select isnull(( select top 1 isnull(计算月工资计件,0) from XZ_ChgItemPay where ID=EMPID  and SelMonth=MYDATE),0)  ","if 岗位人员 = 1 
计算月工资 = 平时出勤工资 + 加班工资 + 节假日工资 - 缺勤扣款 
else 
if 计时人员 = 1 
计算月工资 = 出勤工资 + 加班工资 + 节假日工资 
else
if 计件人员 = 1 
计算月工资 = 计算月工资计件 ",NULL,NULL,0,1,NULL,05,0,1,NULL,NULL," case when isnull(岗位人员,0) = 1   then  isnull(平时出勤工资,0) + isnull(加班工资,0) + isnull(节假日工资,0) - isnull(缺勤扣款,0)    when  isnull(计时人员,0) = 1   then  isnull(出勤工资,0) + isnull(加班工资,0) + isnull(节假日工资,0)    when  isnull(计件人员,0) = 1   then  isnull(计算月工资计件,0)  end",NULL
考核工资,"if isnull(( select top 1 isnull(岗位人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = 1  select isnull(( select top 1 isnull(计算月工资,0) from gongshiresult ),0)  * ( isnull(( select top 1 isnull(考核系数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  - 1 ) ","if 岗位人员 = 1 
考核工资 = 计算月工资 * ( 考核系数 - 1 ) ",NULL,NULL,0,1,NULL,06,0,1,NULL,NULL," case when isnull(岗位人员,0) = 1   then  isnull(计算月工资,0) * ( isnull(考核系数,0) - 1 )  end",NULL
学历补贴,"if datediff ( day , isnull(( select top 1 HIREDATE from employee e where e.id=EMPID),0)  , isnull(( select Month from SalarygongshiItem),0)  ) <= 16 and day ( isnull(( select top 1 HIREDATE from employee e where e.id=EMPID),0)  ) >= 16     select 0  else if isnull(( select top 1 isnull(岗位人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and isnull(( select top 1 isnull(有无延时,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '2' and isnull(( select top 1 isnull(缺勤天数,0) from gongshiresult ),0)  > '0' and isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  > 0     select ( isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  - isnull(( select top 1 isnull(缺勤天数,0) from gongshiresult ),0)  ) / isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  * isnull(( select top 1 isnull(学历补贴标准,0) from gongshiresult ),0)   else if isnull(( select top 1 isnull(岗位人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and ( isnull(( select top 1 isnull(有无延时,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '2' or ( isnull(( select top 1 isnull(平时出勤数,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(加班天数,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(节假日出勤数,0) from gongshiresult ),0)  - isnull(( select top 1 isnull(缺勤天数,0) from gongshiresult ),0)  ) >= isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  )     select isnull(( select top 1 isnull(学历补贴标准,0) from gongshiresult ),0)   else if isnull(( select top 1 isnull(岗位人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  > 0     select ( isnull(( select top 1 isnull(平时出勤数,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(加班天数,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(节假日出勤数,0) from gongshiresult ),0)  - isnull(( select top 1 isnull(缺勤天数,0) from gongshiresult ),0)  ) / isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  * isnull(( select top 1 isnull(学历补贴标准,0) from gongshiresult ),0)   else if isnull(( select top 1 isnull(计时人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' or isnull(( select top 1 isnull(计件人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and isnull(( select top 1 isnull(出勤时数,0) from gongshiresult ),0)  >= isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)      select isnull(( select top 1 isnull(学历补贴标准,0) from gongshiresult ),0)   else if isnull(( select top 1 isnull(计时人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' or isnull(( select top 1 isnull(计件人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  > 0     select isnull(( select top 1 isnull(出勤时数,0) from gongshiresult ),0)  / isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  * isnull(( select top 1 isnull(学历补贴标准,0) from gongshiresult ),0)  ","if datediff ( day , 入职日期 , 薪酬统计月份 ) <= 16 and day ( 入职日期 ) >= 16 
   学历补贴 = 0 
else
if 岗位人员 = '1' and 有无延时 = '2' and 缺勤天数 > '0' and 公司满勤数 > 0 
   学历补贴 = ( 公司满勤数 - 缺勤天数 ) / 公司满勤数 * 学历补贴标准 
else
if 岗位人员 = '1' and ( 有无延时 = '2' or ( 平时出勤数 + 加班天数 + 节假日出勤数 - 缺勤天数 ) >= 公司满勤数 ) 
   学历补贴 = 学历补贴标准 
else
if 岗位人员 = '1' and 公司满勤数 > 0 
   学历补贴 = ( 平时出勤数 + 加班天数 + 节假日出勤数 - 缺勤天数 ) / 公司满勤数 * 学历补贴标准 
else
if 计时人员 = '1' or 计件人员 = '1' and 出勤时数 >= 公司满勤数 
   学历补贴 = 学历补贴标准 
else
if 计时人员 = '1' or 计件人员 = '1' and 公司满勤数 > 0 
   学历补贴 = 出勤时数 / 公司满勤数 * 学历补贴标准 ",NULL,NULL,0,1,NULL,02,0,1,NULL,NULL," case when datediff ( day , isnull(HIREDATE,0) , isnull(Month,0) ) <= 16 and day ( isnull(HIREDATE,0) ) >= 16      then  0    when  isnull(岗位人员,0) = '1' and isnull(有无延时,0) = '2' and isnull(缺勤天数,0) > '0' and isnull(公司满勤数,0) > 0      then  ( isnull(公司满勤数,0) - isnull(缺勤天数,0) ) / isnull(公司满勤数,0) * isnull(学历补贴标准,0)    when  isnull(岗位人员,0) = '1' and ( isnull(有无延时,0) = '2' or ( isnull(平时出勤数,0) + isnull(加班天数,0) + isnull(节假日出勤数,0) - isnull(缺勤天数,0) ) >= isnull(公司满勤数,0) )      then  isnull(学历补贴标准,0)    when  isnull(岗位人员,0) = '1' and isnull(公司满勤数,0) > 0      then  ( isnull(平时出勤数,0) + isnull(加班天数,0) + isnull(节假日出勤数,0) - isnull(缺勤天数,0) ) / isnull(公司满勤数,0) * isnull(学历补贴标准,0)    when  isnull(计时人员,0) = '1' or isnull(计件人员,0) = '1' and isnull(出勤时数,0) >= isnull(公司满勤数,0)      then  isnull(学历补贴标准,0)    when  isnull(计时人员,0) = '1' or isnull(计件人员,0) = '1' and isnull(公司满勤数,0) > 0      then  isnull(出勤时数,0) / isnull(公司满勤数,0) * isnull(学历补贴标准,0)  end",NULL
职称补贴,"if datediff ( day , isnull(( select top 1 HIREDATE from employee e where e.id=EMPID),0)  , isnull(( select Month from SalarygongshiItem),0)  ) <= 16 and day ( isnull(( select top 1 HIREDATE from employee e where e.id=EMPID),0)  ) >= 16     select 0  else if isnull(( select top 1 isnull(岗位人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and isnull(( select top 1 isnull(有无延时,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '2' and isnull(( select top 1 isnull(缺勤天数,0) from gongshiresult ),0)  > '0' and isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  > 0     select ( isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  - isnull(( select top 1 isnull(缺勤天数,0) from gongshiresult ),0)  ) / isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  * isnull(( select top 1 isnull(职称补贴标准,0) from gongshiresult ),0)   else if isnull(( select top 1 isnull(岗位人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and ( isnull(( select top 1 isnull(有无延时,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '2' or ( isnull(( select top 1 isnull(平时出勤数,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(加班天数,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(节假日出勤数,0) from gongshiresult ),0)  - isnull(( select top 1 isnull(缺勤天数,0) from gongshiresult ),0)  ) >= isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  )     select isnull(( select top 1 isnull(职称补贴标准,0) from gongshiresult ),0)   else if isnull(( select top 1 isnull(岗位人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  > 0     select ( isnull(( select top 1 isnull(平时出勤数,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(加班天数,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(节假日出勤数,0) from gongshiresult ),0)  - isnull(( select top 1 isnull(缺勤天数,0) from gongshiresult ),0)  ) / isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  * isnull(( select top 1 isnull(职称补贴标准,0) from gongshiresult ),0)   else if isnull(( select top 1 isnull(计时人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' or isnull(( select top 1 isnull(计件人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and isnull(( select top 1 isnull(出勤时数,0) from gongshiresult ),0)  >= isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)      select isnull(( select top 1 isnull(职称补贴标准,0) from gongshiresult ),0)   else if isnull(( select top 1 isnull(计时人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' or isnull(( select top 1 isnull(计件人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  > 0     select isnull(( select top 1 isnull(出勤时数,0) from gongshiresult ),0)  / isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  * isnull(( select top 1 isnull(职称补贴标准,0) from gongshiresult ),0)  ","if datediff ( day , 入职日期 , 薪酬统计月份 ) <= 16 and day ( 入职日期 ) >= 16 
   职称补贴 = 0 
else
if 岗位人员 = '1' and 有无延时 = '2' and 缺勤天数 > '0' and 公司满勤数 > 0 
   职称补贴 = ( 公司满勤数 - 缺勤天数 ) / 公司满勤数 * 职称补贴标准 
else
if 岗位人员 = '1' and ( 有无延时 = '2' or ( 平时出勤数 + 加班天数 + 节假日出勤数 - 缺勤天数 ) >= 公司满勤数 ) 
   职称补贴 = 职称补贴标准 
else
if 岗位人员 = '1' and 公司满勤数 > 0 
   职称补贴 = ( 平时出勤数 + 加班天数 + 节假日出勤数 - 缺勤天数 ) / 公司满勤数 * 职称补贴标准 
else
if 计时人员 = '1' or 计件人员 = '1' and 出勤时数 >= 公司满勤数 
   职称补贴 = 职称补贴标准 
else
if 计时人员 = '1' or 计件人员 = '1' and 公司满勤数 > 0 
   职称补贴 = 出勤时数 / 公司满勤数 * 职称补贴标准 ",NULL,NULL,0,1,NULL,02,0,1,NULL,NULL," case when datediff ( day , isnull(HIREDATE,0) , isnull(Month,0) ) <= 16 and day ( isnull(HIREDATE,0) ) >= 16      then  0    when  isnull(岗位人员,0) = '1' and isnull(有无延时,0) = '2' and isnull(缺勤天数,0) > '0' and isnull(公司满勤数,0) > 0      then  ( isnull(公司满勤数,0) - isnull(缺勤天数,0) ) / isnull(公司满勤数,0) * isnull(职称补贴标准,0)    when  isnull(岗位人员,0) = '1' and ( isnull(有无延时,0) = '2' or ( isnull(平时出勤数,0) + isnull(加班天数,0) + isnull(节假日出勤数,0) - isnull(缺勤天数,0) ) >= isnull(公司满勤数,0) )      then  isnull(职称补贴标准,0)    when  isnull(岗位人员,0) = '1' and isnull(公司满勤数,0) > 0      then  ( isnull(平时出勤数,0) + isnull(加班天数,0) + isnull(节假日出勤数,0) - isnull(缺勤天数,0) ) / isnull(公司满勤数,0) * isnull(职称补贴标准,0)    when  isnull(计时人员,0) = '1' or isnull(计件人员,0) = '1' and isnull(出勤时数,0) >= isnull(公司满勤数,0)      then  isnull(职称补贴标准,0)    when  isnull(计时人员,0) = '1' or isnull(计件人员,0) = '1' and isnull(公司满勤数,0) > 0      then  isnull(出勤时数,0) / isnull(公司满勤数,0) * isnull(职称补贴标准,0)  end",NULL
高温补贴,"if isnull(( select top 1 isnull(岗位人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and isnull(( select top 1 isnull(有无延时,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '2' and isnull(( select top 1 isnull(缺勤天数,0) from gongshiresult ),0)  > '0' and isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  > 0     select ( isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  - isnull(( select top 1 isnull(缺勤天数,0) from gongshiresult ),0)  ) / isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  * isnull(( select top 1 isnull(高温补贴标准,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)   else if isnull(( select top 1 isnull(岗位人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and ( isnull(( select top 1 isnull(有无延时,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '2' or ( isnull(( select top 1 isnull(平时出勤数,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(加班天数,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(节假日出勤数,0) from gongshiresult ),0)  - isnull(( select top 1 isnull(缺勤天数,0) from gongshiresult ),0)  ) >= isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  )     select isnull(( select top 1 isnull(高温补贴标准,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)   else if isnull(( select top 1 isnull(岗位人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  > 0     select ( isnull(( select top 1 isnull(平时出勤数,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(加班天数,0) from gongshiresult ),0)  + isnull(( select top 1 isnull(节假日出勤数,0) from gongshiresult ),0)  - isnull(( select top 1 isnull(缺勤天数,0) from gongshiresult ),0)  ) / isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  * isnull(( select top 1 isnull(高温补贴标准,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)   else if isnull(( select top 1 isnull(计时人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' or isnull(( select top 1 isnull(计件人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and isnull(( select top 1 isnull(出勤时数,0) from gongshiresult ),0)  >= isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)      select isnull(( select top 1 isnull(高温补贴标准,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)   else if isnull(( select top 1 isnull(计时人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' or isnull(( select top 1 isnull(计件人员,0) from XZ_FixItemPay where ID=EMPID and SelMonth=MYDATE),0)  = '1' and isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  > 0     select isnull(( select top 1 isnull(出勤时数,0) from gongshiresult ),0)  / isnull(( select top 1 isnull(公司满勤数,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  * isnull(( select top 1 isnull(高温补贴标准,0) from XZ_ChgItemPay where ID=EMPID and SelMonth=MYDATE),0)  ","if 岗位人员 = '1' and 有无延时 = '2' and 缺勤天数 > '0' and 公司满勤数 > 0 
   高温补贴 = ( 公司满勤数 - 缺勤天数 ) / 公司满勤数 * 高温补贴标准 
else
if 岗位人员 = '1' and ( 有无延时 = '2' or ( 平时出勤数 + 加班天数 + 节假日出勤数 - 缺勤天数 ) >= 公司满勤数 ) 
   高温补贴 = 高温补贴标准 
else
if 岗位人员 = '1' and 公司满勤数 > 0 
   高温补贴 = ( 平时出勤数 + 加班天数 + 节假日出勤数 - 缺勤天数 ) / 公司满勤数 * 高温补贴标准 
else
if 计时人员 = '1' or 计件人员 = '1' and 出勤时数 >= 公司满勤数 
   高温补贴 = 高温补贴标准 
else
if 计时人员 = '1' or 计件人员 = '1' and 公司满勤数 > 0 
   高温补贴 = 出勤时数 / 公司满勤数 * 高温补贴标准 ",NULL,NULL,0,1,NULL,02,0,1,NULL,NULL," case when isnull(岗位人员,0) = '1' and isnull(有无延时,0) = '2' and isnull(缺勤天数,0) > '0' and isnull(公司满勤数,0) > 0      then  ( isnull(公司满勤数,0) - isnull(缺勤天数,0) ) / isnull(公司满勤数,0) * isnull(高温补贴标准,0)    when  isnull(岗位人员,0) = '1' and ( isnull(有无延时,0) = '2' or ( isnull(平时出勤数,0) + isnull(加班天数,0) + isnull(节假日出勤数,0) - isnull(缺勤天数,0) ) >= isnull(公司满勤数,0) )      then  isnull(高温补贴标准,0)    when  isnull(岗位人员,0) = '1' and isnull(公司满勤数,0) > 0      then  ( isnull(平时出勤数,0) + isnull(加班天数,0) + isnull(节假日出勤数,0) - isnull(缺勤天数,0) ) / isnull(公司满勤数,0) * isnull(高温补贴标准,0)    when  isnull(计时人员,0) = '1' or isnull(计件人员,0) = '1' and isnull(出勤时数,0) >= isnull(公司满勤数,0)      then  isnull(高温补贴标准,0)    when  isnull(计时人员,0) = '1' or isnull(计件人员,0) = '1' and isnull(公司满勤数,0) > 0      then  isnull(出勤时数,0) / isnull(公司满勤数,0) * isnull(高温补贴标准,0)  end",NULL
